Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,226.8,0,01:24.2,03:04.5,2.71,00:00.0,0,23.5,30,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5696467,-0.1783819
1,233.7,0,01:26.6,03:00.5,2.77,00:00.0,0,24,31,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5696398,-0.1784822
1,240.6,0,01:29.0,02:54.2,2.87,00:00.0,0,25.5,32,7,0,---,---,---,---,---,---,---,---,---,---,52.569631,-0.1785843
1,247.4,0,01:31.2,02:47.2,2.99,00:00.0,0,26.5,33,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5696236,-0.1786834
1,253.6,0,01:33.4,02:43.9,3.05,00:00.0,0,28.5,34,6.3,0,---,---,---,---,---,---,---,---,---,---,52.5696171,-0.1787752
1,259.7,0,01:35.4,02:54.2,2.87,00:00.0,0,30,35,6.1,0,---,---,---,---,---,---,---,---,---,---,52.5695989,-0.1788599
1,266.8,0,01:37.6,02:43.4,3.06,00:00.0,0,30,36,7,0,---,---,---,---,---,---,---,---,---,---,52.5695875,-0.1789626
1,273.2,0,01:39.2,02:24.5,3.46,00:00.0,0,31,37,6.5,0,---,---,---,---,---,---,---,---,---,---,52.5695712,-0.1790547
1,280.5,0,01:41.2,02:21.2,3.54,00:00.0,0,31,38,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5695563,-0.1791587
1,287.4,0,01:43.0,02:17.0,3.65,00:00.0,0,31,39,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5695408,-0.1792581
1,295.1,0,01:45.0,02:14.0,3.73,00:00.0,0,31,40,7.7,0,---,---,---,---,---,---,---,---,---,---,52.5695308,-0.1793708
1,302.1,0,01:46.8,02:12.3,3.78,00:00.0,0,31,41,7,0,---,---,---,---,---,---,---,---,---,---,52.5695159,-0.1794714
1,309.7,0,01:48.8,02:10.5,3.83,00:00.0,0,31,42,7.6,0,---,---,---,---,---,---,---,---,---,---,52.5694991,-0.1795795
1,317.3,0,01:50.8,02:11.9,3.79,00:00.0,0,31,43,7.6,0,---,---,---,---,---,---,---,---,---,---,52.5694909,-0.1796913
1,324.3,0,01:52.7,02:12.3,3.78,00:00.0,0,30,44,7,0,---,---,---,---,---,---,---,---,---,---,52.5694767,-0.1797924
1,331.7,0,01:54.6,02:10.9,3.82,00:00.0,0,31,45,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5694649,-0.1799001
1,338.9,0,01:56.6,02:13.7,3.74,00:00.0,0,31,46,7.2,0,---,---,---,---,---,---,---,---,---,---,52.569455,-0.1800049
1,345.7,0,01:58.6,02:18.5,3.61,00:00.0,0,31,47,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5694434,-0.1801036
